poll_info,year,state,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,days_to_election,poll_key,candidate,pct,party_group
2012-kentucky-president-romney-vs-obama,2012,kentucky,14974,PPP (D),2011-08-25,2011-08-28,Likely Voters,600,Automated Phone,Pollster,Dem,436,2012_14974_kentucky,Obama,40,Democrat
2012-kentucky-president-romney-vs-obama,2012,kentucky,14974,PPP (D),2011-08-25,2011-08-28,Likely Voters,600,Automated Phone,Pollster,Dem,436,2012_14974_kentucky,Romney,48,Republican
2012-kentucky-president-romney-vs-obama,2012,kentucky,14974,PPP (D),2011-08-25,2011-08-28,Likely Voters,600,Automated Phone,Pollster,Dem,436,2012_14974_kentucky,Undecided,11,Undecided
2012-kentucky-president-romney-vs-obama,2012,kentucky,14974,PPP (D),2011-08-25,2011-08-28,Likely Voters,600,Automated Phone,Pollster,Dem,436,2012_14974_kentucky,Other,NA,Other
2012-mississippi-president-romney-vs-obama,2012,mississippi,12585,PPP (D),2011-11-04,2011-11-06,Likely Voters,796,Automated Phone,Pollster,Dem,366,2012_12585_mississippi,Obama,36,Democrat
2012-mississippi-president-romney-vs-obama,2012,mississippi,12585,PPP (D),2011-11-04,2011-11-06,Likely Voters,796,Automated Phone,Pollster,Dem,366,2012_12585_mississippi,Romney,54,Republican
2012-mississippi-president-romney-vs-obama,2012,mississippi,12585,PPP (D),2011-11-04,2011-11-06,Likely Voters,796,Automated Phone,Pollster,Dem,366,2012_12585_mississippi,Undecided,10,Undecided
2012-mississippi-president-romney-vs-obama,2012,mississippi,12585,PPP (D),2011-11-04,2011-11-06,Likely Voters,796,Automated Phone,Pollster,Dem,366,2012_12585_mississippi,Other,NA,Other
2012-mississippi-president-romney-vs-obama,2012,mississippi,15016,PPP (D),2011-03-24,2011-03-27,Likely Voters,817,Automated Phone,Pollster,Dem,590,2012_15016_mississippi,Obama,40,Democrat
2012-mississippi-president-romney-vs-obama,2012,mississippi,15016,PPP (D),2011-03-24,2011-03-27,Likely Voters,817,Automated Phone,Pollster,Dem,590,2012_15016_mississippi,Romney,46,Republican
2012-mississippi-president-romney-vs-obama,2012,mississippi,15016,PPP (D),2011-03-24,2011-03-27,Likely Voters,817,Automated Phone,Pollster,Dem,590,2012_15016_mississippi,Undecided,13,Undecided
2012-mississippi-president-romney-vs-obama,2012,mississippi,15016,PPP (D),2011-03-24,2011-03-27,Likely Voters,817,Automated Phone,Pollster,Dem,590,2012_15016_mississippi,Other,NA,Other
2012-louisiana-president-romney-vs-obama,2012,louisiana,15650,Magellan (R),2012-10-02,2012-10-04,Likely Voters,2682,Automated Phone,Pollster,Rep,33,2012_15650_louisiana,Obama,36,Democrat
2012-louisiana-president-romney-vs-obama,2012,louisiana,15650,Magellan (R),2012-10-02,2012-10-04,Likely Voters,2682,Automated Phone,Pollster,Rep,33,2012_15650_louisiana,Romney,59,Republican
2012-louisiana-president-romney-vs-obama,2012,louisiana,15650,Magellan (R),2012-10-02,2012-10-04,Likely Voters,2682,Automated Phone,Pollster,Rep,33,2012_15650_louisiana,Undecided,5,Undecided
2012-louisiana-president-romney-vs-obama,2012,louisiana,15650,Magellan (R),2012-10-02,2012-10-04,Likely Voters,2682,Automated Phone,Pollster,Rep,33,2012_15650_louisiana,Other,NA,Other
2012-louisiana-president-romney-vs-obama,2012,louisiana,15507,JZ Analytics,2012-09-29,2012-09-30,Likely Voters,412,Internet,Nonpartisan,None,37,2012_15507_louisiana,Obama,37,Democrat
2012-louisiana-president-romney-vs-obama,2012,louisiana,15507,JZ Analytics,2012-09-29,2012-09-30,Likely Voters,412,Internet,Nonpartisan,None,37,2012_15507_louisiana,Romney,50,Republican
2012-louisiana-president-romney-vs-obama,2012,louisiana,15507,JZ Analytics,2012-09-29,2012-09-30,Likely Voters,412,Internet,Nonpartisan,None,37,2012_15507_louisiana,Undecided,10,Undecided
2012-louisiana-president-romney-vs-obama,2012,louisiana,15507,JZ Analytics,2012-09-29,2012-09-30,Likely Voters,412,Internet,Nonpartisan,None,37,2012_15507_louisiana,Other,NA,Other
2012-louisiana-president-romney-vs-obama,2012,louisiana,15469,Southern Media/Opinion Research,2012-09-11,2012-09-20,Likely Voters,600,Live Phone,Nonpartisan,None,47,2012_15469_louisiana,Obama,39,Democrat
2012-louisiana-president-romney-vs-obama,2012,louisiana,15469,Southern Media/Opinion Research,2012-09-11,2012-09-20,Likely Voters,600,Live Phone,Nonpartisan,None,47,2012_15469_louisiana,Romney,45,Republican
2012-louisiana-president-romney-vs-obama,2012,louisiana,15469,Southern Media/Opinion Research,2012-09-11,2012-09-20,Likely Voters,600,Live Phone,Nonpartisan,None,47,2012_15469_louisiana,Undecided,17,Undecided
2012-louisiana-president-romney-vs-obama,2012,louisiana,15469,Southern Media/Opinion Research,2012-09-11,2012-09-20,Likely Voters,600,Live Phone,Nonpartisan,None,47,2012_15469_louisiana,Other,NA,Other
2012-kansas-president-romney-vs-obama,2012,kansas,14973,SurveyUSA,2011-11-18,2011-11-21,Registered Voters,510,IVR/Online,Nonpartisan,None,351,2012_14973_kansas,Obama,39,Democrat
2012-kansas-president-romney-vs-obama,2012,kansas,14973,SurveyUSA,2011-11-18,2011-11-21,Registered Voters,510,IVR/Online,Nonpartisan,None,351,2012_14973_kansas,Romney,48,Republican
2012-kansas-president-romney-vs-obama,2012,kansas,14973,SurveyUSA,2011-11-18,2011-11-21,Registered Voters,510,IVR/Online,Nonpartisan,None,351,2012_14973_kansas,Undecided,13,Undecided
2012-kansas-president-romney-vs-obama,2012,kansas,14973,SurveyUSA,2011-11-18,2011-11-21,Registered Voters,510,IVR/Online,Nonpartisan,None,351,2012_14973_kansas,Other,NA,Other
2012-kansas-president-romney-vs-obama,2012,kansas,12571,SurveyUSA,2011-11-10,2011-11-10,Likely Voters,800,Automated Phone,Nonpartisan,None,362,2012_12571_kansas,Obama,31,Democrat
2012-kansas-president-romney-vs-obama,2012,kansas,12571,SurveyUSA,2011-11-10,2011-11-10,Likely Voters,800,Automated Phone,Nonpartisan,None,362,2012_12571_kansas,Romney,56,Republican
2012-kansas-president-romney-vs-obama,2012,kansas,12571,SurveyUSA,2011-11-10,2011-11-10,Likely Voters,800,Automated Phone,Nonpartisan,None,362,2012_12571_kansas,Undecided,12,Undecided
2012-kansas-president-romney-vs-obama,2012,kansas,12571,SurveyUSA,2011-11-10,2011-11-10,Likely Voters,800,Automated Phone,Nonpartisan,None,362,2012_12571_kansas,Other,NA,Other
2012-hawaii-president-romney-vs-obama,2012,hawaii,16453,Honolulu Civil Beat/Merriman,2012-10-24,2012-10-26,Likely Voters,1218,Automated Phone,Nonpartisan,None,11,2012_16453_hawaii,Obama,61,Democrat
2012-hawaii-president-romney-vs-obama,2012,hawaii,16453,Honolulu Civil Beat/Merriman,2012-10-24,2012-10-26,Likely Voters,1218,Automated Phone,Nonpartisan,None,11,2012_16453_hawaii,Romney,34,Republican
2012-hawaii-president-romney-vs-obama,2012,hawaii,16453,Honolulu Civil Beat/Merriman,2012-10-24,2012-10-26,Likely Voters,1218,Automated Phone,Nonpartisan,None,11,2012_16453_hawaii,Undecided,5,Undecided
2012-hawaii-president-romney-vs-obama,2012,hawaii,16453,Honolulu Civil Beat/Merriman,2012-10-24,2012-10-26,Likely Voters,1218,Automated Phone,Nonpartisan,None,11,2012_16453_hawaii,Other,NA,Other
2012-hawaii-president-romney-vs-obama,2012,hawaii,15516,Honolulu Civil Beat/Merriman,2012-09-26,2012-09-28,Likely Voters,1684,Automated Phone,Nonpartisan,None,39,2012_15516_hawaii,Obama,62,Democrat
2012-hawaii-president-romney-vs-obama,2012,hawaii,15516,Honolulu Civil Beat/Merriman,2012-09-26,2012-09-28,Likely Voters,1684,Automated Phone,Nonpartisan,None,39,2012_15516_hawaii,Romney,30,Republican
2012-hawaii-president-romney-vs-obama,2012,hawaii,15516,Honolulu Civil Beat/Merriman,2012-09-26,2012-09-28,Likely Voters,1684,Automated Phone,Nonpartisan,None,39,2012_15516_hawaii,Undecided,6,Undecided
2012-hawaii-president-romney-vs-obama,2012,hawaii,15516,Honolulu Civil Beat/Merriman,2012-09-26,2012-09-28,Likely Voters,1684,Automated Phone,Nonpartisan,None,39,2012_15516_hawaii,Other,3,Other
2012-hawaii-president-romney-vs-obama,2012,hawaii,12582,DailyKos.com/PPP (D),2011-10-13,2011-10-16,Likely Voters,568,Automated Phone,Sponsor,Dem,387,2012_12582_hawaii,Obama,59,Democrat
2012-hawaii-president-romney-vs-obama,2012,hawaii,12582,DailyKos.com/PPP (D),2011-10-13,2011-10-16,Likely Voters,568,Automated Phone,Sponsor,Dem,387,2012_12582_hawaii,Romney,32,Republican
2012-hawaii-president-romney-vs-obama,2012,hawaii,12582,DailyKos.com/PPP (D),2011-10-13,2011-10-16,Likely Voters,568,Automated Phone,Sponsor,Dem,387,2012_12582_hawaii,Undecided,10,Undecided
2012-hawaii-president-romney-vs-obama,2012,hawaii,12582,DailyKos.com/PPP (D),2011-10-13,2011-10-16,Likely Voters,568,Automated Phone,Sponsor,Dem,387,2012_12582_hawaii,Other,NA,Other
2012-west-virginia-president-romney-vs-obama,2012,west-virginia,14852,R.L. Repass & Partners,2012-08-22,2012-08-25,Likely Voters,401,Mixed,Nonpartisan,None,73,2012_14852_west-virginia,Obama,38,Democrat
