poll_info,Obama,Romney,Undecided,Other,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation
2012-north-dakota-president-romney-vs-obama,40,54,3,Not included in poll,16371,Mason-Dixon,2012-10-26,2012-10-28,Likely Voters,625,Live Phone,Nonpartisan,None
2012-north-dakota-president-romney-vs-obama,38,55,,Not included in poll,16325,Pharos Research Group,2012-10-26,2012-10-28,Likely Voters,752,Live Phone,Nonpartisan,None
2012-north-dakota-president-romney-vs-obama,39,49,,Not included in poll,16246,Pharos Research Group,2012-10-19,2012-10-21,Likely Voters,807,Live Phone,Nonpartisan,None
2012-north-dakota-president-romney-vs-obama,40,54,4,2,16060,Rasmussen,2012-10-17,2012-10-18,Likely Voters,600,Automated Phone,Nonpartisan,None
2012-north-dakota-president-romney-vs-obama,32,57,10,1,16064,Essman/Research,2012-10-12,2012-10-15,Likely Voters,500,Live Phone,Nonpartisan,None
2012-north-dakota-president-romney-vs-obama,40,54,5,Not included in poll,15618,Mason-Dixon,2012-10-03,2012-10-05,Likely Voters,625,Live Phone,Nonpartisan,None
2012-north-dakota-president-romney-vs-obama,39,51,,Not included in poll,15399,DFM Research (D-ND Dems/NPL),2012-09-24,2012-09-27,Likely Voters,600,Live Phone,Sponsor,Dem
2012-north-dakota-president-romney-vs-obama,35,54,,Not included in poll,14480,DFM Research (D-ND Dems/NPL),2012-07-24,2012-07-26,Likely Voters,400,Live Phone,Sponsor,Dem
2012-north-dakota-president-romney-vs-obama,36,51,7,6,14336,Rasmussen,2012-07-10,2012-07-11,Likely Voters,400,Automated Phone,Nonpartisan,None
2012-north-dakota-president-romney-vs-obama,39,52,,Not included in poll,14040,Mason-Dixon,2012-06-04,2012-06-06,Likely Voters,625,Live Phone,Nonpartisan,None
2012-north-dakota-president-romney-vs-obama,32,51,,Not included in poll,13664,DFM Research (D-DSCC),2012-04-18,2012-04-26,Registered Voters,478,Live Phone,Sponsor,Dem
2012-washington-president-romney-vs-obama,53,46,1,Not included in poll,16521,PPP (D),2012-11-01,2012-11-03,Likely Voters,932,Automated Phone,Pollster,Dem
2012-washington-president-romney-vs-obama,54,40,2,Not included in poll,16583,YouGov,2012-10-31,2012-11-03,Likely Voters,837,Internet,Nonpartisan,None
2012-washington-president-romney-vs-obama,54,40,,Not included in poll,16415,SurveyUSA,2012-10-28,2012-10-31,Likely Voters,555,Mixed,Nonpartisan,None
2012-washington-president-romney-vs-obama,57,36,4,Not included in poll,16435,University of Washington/KCTS9,2012-10-18,2012-10-31,Likely Voters,632,Live Phone,Nonpartisan,None
2012-washington-president-romney-vs-obama,52,39,5,Not included in poll,16051,Strategies 360 (D),2012-10-17,2012-10-20,Likely Voters,500,Live Phone,Nonpartisan,None
2012-washington-president-romney-vs-obama,50,45,4,Not included in poll,15913,PPP (D-Washington Conservation Voters),2012-10-15,2012-10-16,Likely Voters,574,Automated Phone,Sponsor,Dem
2012-washington-president-romney-vs-obama,52,43,3,Not included in poll,15936,University of Washington/KCTS9,2012-10-01,2012-10-16,Likely Voters,644,Live Phone,Nonpartisan,None
2012-washington-president-romney-vs-obama,55,42,1,Not included in poll,15884,Rasmussen,2012-10-14,2012-10-14,Likely Voters,500,Automated Phone,Nonpartisan,None
2012-washington-president-romney-vs-obama,54,40,3,Not included in poll,15834,SurveyUSA,2012-10-12,2012-10-14,Likely Voters,543,IVR/Online,Nonpartisan,None
2012-washington-president-romney-vs-obama,56,39,3,Not included in poll,15847,YouGov,2012-10-04,2012-10-11,Likely Voters,747,Internet,Nonpartisan,None
2012-washington-president-romney-vs-obama,56,36,3,Not included in poll,15506,SurveyUSA,2012-09-28,2012-09-30,Likely Voters,540,IVR/Online,Nonpartisan,None
2012-washington-president-romney-vs-obama,52,41,4,Not included in poll,15412,Rasmussen,2012-09-26,2012-09-26,Likely Voters,500,Automated Phone,Nonpartisan,None
2012-washington-president-romney-vs-obama,56,39,5,Not included in poll,15356,Gravis Marketing,2012-09-21,2012-09-22,Likely Voters,625,Automated Phone,Nonpartisan,None
2012-washington-president-romney-vs-obama,53,39,3,Not included in poll,15212,YouGov,2012-09-07,2012-09-14,Likely Voters,880,Internet,Nonpartisan,None
2012-washington-president-romney-vs-obama,53,36,,Not included in poll,15051,Elway,2012-09-09,2012-09-12,Registered Voters,405,Live Phone,Nonpartisan,None
2012-washington-president-romney-vs-obama,54,38,4,Not included in poll,14955,SurveyUSA,2012-09-07,2012-09-09,Likely Voters,524,IVR/Online,Nonpartisan,None
2012-washington-president-romney-vs-obama,46,36,17,Not included in poll,15428,Moore Information (R),2012-08-06,2012-08-07,Likely Voters,500,Live Phone,Pollster,Rep
2012-washington-president-romney-vs-obama,54,37,5,Not included in poll,14569,SurveyUSA,2012-08-01,2012-08-02,Likely Voters,524,IVR/Online,Nonpartisan,None
2012-washington-president-romney-vs-obama,46,37,,Not included in poll,14404,SurveyUSA,2012-07-16,2012-07-18,Registered Voters,630,IVR/Online,Nonpartisan,None
2012-washington-president-romney-vs-obama,54,41,5,Not included in poll,14134,PPP (D),2012-06-14,2012-06-17,Likely Voters,1073,Automated Phone,Pollster,Dem
2012-washington-president-romney-vs-obama,49,41,,Not included in poll,14123,Elway,2012-06-13,2012-06-16,Registered Voters,408,Live Phone,Nonpartisan,None
2012-washington-president-romney-vs-obama,50,36,14,Not included in poll,13766,SurveyUSA,2012-05-08,2012-05-09,Registered Voters,557,IVR/Online,Nonpartisan,None
2012-washington-president-romney-vs-obama,53,38,9,Not included in poll,13025,PPP (D),2012-02-16,2012-02-19,Likely Voters,1264,Automated Phone,Pollster,Dem
2012-washington-president-romney-vs-obama,50,39,11,Not included in poll,13459,SurveyUSA,2012-02-13,2012-02-15,Registered Voters,572,IVR/Online,Nonpartisan,None
2012-washington-president-romney-vs-obama,49,38,12,Not included in poll,13155,Elway,2012-02-07,2012-02-09,Likely Voters,405,Live Phone,Nonpartisan,None
2012-washington-president-romney-vs-obama,50,39,11,Not included in poll,13154,SurveyUSA,2012-01-12,2012-01-16,Likely Voters,572,IVR/Online,Nonpartisan,None
2012-vermont-president-romney-vs-obama,62,25,7,1,14755,Castleton State College,2012-08-11,2012-08-21,Likely Voters,477,Automated Phone,Nonpartisan,None
2012-vermont-president-romney-vs-obama,58,33,,6,13458,Castleton State College,2012-02-11,2012-02-22,Registered Voters,664,Automated Phone,Nonpartisan,None
2012-texas-president-romney-vs-obama,38,57,2,3,16596,YouGov,2012-10-31,2012-11-03,Likely Voters,1563,Internet,Nonpartisan,None
2012-texas-president-romney-vs-obama,39,55,,6,16331,YouGov/U of Texas/Texas Tribune,2012-10-15,2012-10-21,Likely Voters,540,Internet,Nonpartisan,None
2012-texas-president-romney-vs-obama,41,55,2,2,15872,YouGov,2012-10-04,2012-10-11,Likely Voters,957,Internet,Nonpartisan,None
2012-texas-president-romney-vs-obama,39,58,4,Not included in poll,15488,Texas Lyceum,2012-09-10,2012-09-26,Likely Voters,443,Live Phone,Nonpartisan,None
2012-texas-president-romney-vs-obama,41,53,2,4,15231,YouGov,2012-09-07,2012-09-14,Likely Voters,1165,Internet,Nonpartisan,None
2012-texas-president-romney-vs-obama,40,55,3,2,14990,Wilson Perkins Allen Opinion Research (R),2012-09-09,2012-09-11,Likely Voters,1000,Live Phone,Pollster,Rep
2012-texas-president-romney-vs-obama,35,55,,Not included in poll,13863,YouGov/U of Texas/Texas Tribune,2012-05-07,2012-05-13,Likely Voters,511,Internet,Nonpartisan,None
2012-texas-president-romney-vs-obama,43,50,7,Not included in poll,13603,PPP (D),2012-04-19,2012-04-22,Likely Voters,591,Automated Phone,Pollster,Dem
2012-texas-president-romney-vs-obama,36,49,,Not included in poll,13457,U of Texas/Texas Tribune,2012-02-08,2012-02-15,Likely Voters,529,Internet,Nonpartisan,None
2012-texas-president-romney-vs-obama,42,49,9,Not included in poll,12647,PPP (D),2012-01-12,2012-01-15,Likely Voters,700,Automated Phone,Pollster,Dem
2012-tennessee-president-romney-vs-obama,42,53,3,2,16594,YouGov,2012-10-31,2012-11-03,Likely Voters,697,Internet,Nonpartisan,None
2012-tennessee-president-romney-vs-obama,34,59,6,1,16330,MTSU,2012-10-16,2012-10-21,Likely Voters,609,Live Phone,Nonpartisan,None
2012-tennessee-president-romney-vs-obama,43,52,4,2,15871,YouGov,2012-10-04,2012-10-11,Likely Voters,484,Internet,Nonpartisan,None
2012-tennessee-president-romney-vs-obama,42,50,4,4,15226,YouGov,2012-09-07,2012-09-14,Likely Voters,694,Internet,Nonpartisan,None
2012-tennessee-president-romney-vs-obama,40,47,,Not included in poll,13845,Vanderbit/PSRA,2012-05-02,2012-05-09,Registered Voters,826,Live Phone,Nonpartisan,None
2012-tennessee-president-romney-vs-obama,41,47,,Not included in poll,13087,MTSU,2012-02-13,2012-02-25,Likely Voters,416,Live Phone,Nonpartisan,None
2012-tennessee-president-romney-vs-obama,39,42,7,Not included in poll,13125,Vanderbit/PSRA,2012-02-16,2012-02-22,Registered Voters,1508,Live Phone,Nonpartisan,None
2012-tennessee-president-romney-vs-obama,29,44,,Not included in poll,12578,MTSU,2011-10-03,2011-10-14,Adults,640,Live Phone,Nonpartisan,None
2012-south-dakota-president-romney-vs-obama,41,53,6,Not included in poll,16663,Nielson Brothers,2012-10-31,2012-11-04,Likely Voters,617,Automated Phone,Nonpartisan,None
2012-south-dakota-president-romney-vs-obama,42,50,8,Not included in poll,16499,Nielson Brothers,2012-10-28,2012-10-31,Likely Voters,777,Automated Phone,Nonpartisan,None
2012-south-dakota-president-romney-vs-obama,41,52,7,Not included in poll,15753,Nielson Brothers,2012-10-01,2012-10-05,Likely Voters,749,Automated Phone,Nonpartisan,None
2012-south-dakota-president-romney-vs-obama,39,54,7,Not included in poll,15249,Nielson Brothers,2012-08-29,2012-09-06,Likely Voters,512,Automated Phone,Nonpartisan,None
2012-south-dakota-president-romney-vs-obama,43,49,8,Not included in poll,14558,Nielson Brothers,2012-07-19,2012-07-23,Registered Voters,546,Automated Phone,Nonpartisan,None
2012-south-dakota-president-romney-vs-obama,35,44,21,Not included in poll,13456,Nielson Brothers,2012-02-15,2012-02-17,Registered Voters,559,Automated Phone,Nonpartisan,None
2012-south-carolina-president-romney-vs-obama,40,46,,Not included in poll,12475,Ipsos/Reuters (Internet),2012-01-10,2012-01-13,Registered Voters,995,Internet,Nonpartisan,None
2012-south-carolina-president-romney-vs-obama,45,42,13,Not included in poll,12565,Marist College,2011-12-04,2011-12-06,Likely Voters,2107,Live Phone,Nonpartisan,None
2012-south-carolina-president-romney-vs-obama,40,46,14,Not included in poll,12566,Marist College,2011-10-11,2011-10-13,Likely Voters,2131,Live Phone,Nonpartisan,None
2012-oregon-president-romney-vs-obama,52,46,3,Not included in poll,16491,PPP (D),2012-10-31,2012-11-01,Likely Voters,921,Automated Phone,Pollster,Dem
2012-oregon-president-romney-vs-obama,47,41,9,Not included in poll,16315,Elway/Oregonian,2012-10-25,2012-10-28,Likely Voters,405,Live Phone,Nonpartisan,None
2012-oregon-president-romney-vs-obama,47,42,12,Not included in poll,16329,Hoffman Research (R),2012-10-24,2012-10-25,Likely Voters,615,Live Phone,Pollster,Rep
2012-oregon-president-romney-vs-obama,49,42,5,Not included in poll,15941,SurveyUSA,2012-10-16,2012-10-18,Likely Voters,579,IVR/Online,Nonpartisan,None
2012-oregon-president-romney-vs-obama,50,41,5,Not included in poll,15097,SurveyUSA,2012-09-10,2012-09-13,Likely Voters,552,IVR/Online,Nonpartisan,None
2012-oregon-president-romney-vs-obama,50,42,8,Not included in poll,14185,PPP (D),2012-06-21,2012-06-24,Likely Voters,686,Automated Phone,Pollster,Dem
2012-oregon-president-romney-vs-obama,47,43,10,Not included in poll,13744,SurveyUSA,2012-05-07,2012-05-10,Registered Voters,1468,IVR/Online,Nonpartisan,None
